,name,genres,url,sp_id,related_artists,popularity
0,James Bay,"['modern rock', 'neo mellow', 'pop', 'pop rock']",https://open.spotify.com/artist/4EzkuveR9pLvDVFNx6foYD,4EzkuveR9pLvDVFNx6foYD,"['James TW', 'Gavin James', 'Rhys Lewis', 'Tom Odell', 'JP Cooper']",77
1,BTS,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"['j-hope', 'RM', 'V', 'SEVENTEEN', 'Eric Nam']",98
2,Rich The Kid,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://open.spotify.com/artist/1pPmIToKXyGdsCF6LmqLmI,1pPmIToKXyGdsCF6LmqLmI,"['Quality Control', 'BlocBoy JB', 'Lil Yachty', 'Jay Critch', 'Famous Dex']",79
3,DJ Drama,"['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://open.spotify.com/artist/5oNgAs7j5XcBMzWv3HAnHG,5oNgAs7j5XcBMzWv3HAnHG,"['Rocko', 'Young Dro', 'U.S.D.A.', 'B.G.', 'Young Money']",58
4,Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"['ZAYN', 'Fifth Harmony', 'Camila Cabello', 'Shawn Mendes', 'Bazzi']",96
5,Kehlani,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,0cGUm45nv7Z6M6qdXYQGTX,"['Kiana Ledé', 'Sabrina Claudio', 'H.E.R.', 'Victoria Monét', 'Ella Mai']",81
6,Girls Aloud,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'girl group', 'pop dance', 'post-teen pop']",https://open.spotify.com/artist/12EtLdLfJ41vUOoVzPZIUy,12EtLdLfJ41vUOoVzPZIUy,"['Sugababes', 'Emma Bunton', 'Rachel Stevens', 'The Saturdays', 'Melanie C']",57
7,The Who,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,67ea9eGLXYMsO2eYQRui3w,"['The Yardbirds', 'Pete Townshend', 'The Kinks', 'Cream', 'The Animals']",72
8,blackbear,"['electropop', 'pop', 'pop rap']",https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM,2cFrymmkijnjDg9SS92EPM,"['Quinn XCII', 'Jon Bellion', 'Jeremy Zucker', 'mansionz', 'Bryce Vine']",87
9,Oliver Tree,"['alternative hip hop']",https://open.spotify.com/artist/6TLwD7HPWuiOzvXEa3oCNe,6TLwD7HPWuiOzvXEa3oCNe,"['Jakey', 'Hobo Johnson', 'Aries', 'bbno$', 'Tiny Meat Gang']",74
