,frequency,id,artist
0,136,3TVXtAsR1Inumwj472S9r4,Drake
1,106,3WrFJ7ztbogyGnTHbHJFl2,The Beatles
2,97,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
3,79,1uNFoZAHBGtllmzznpCI3s,Justin Bieber
4,71,4gzpq5DPGxSnKTe4SA8HAU,Coldplay
5,62,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
6,59,0du5cEVh5yTK9QJze8zA0C,Bruno Mars
7,57,5pKCCKE2ajJHZ9KAiaK11H,Rihanna
8,51,4AK6F7OLvEQ5QYCBNiQWHq,One Direction
9,41,6LuN9FCkKOj5PcnpouEgny,Khalid
10,39,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
11,35,4r63FhuTkUYltbVAg5TQnk,DaBaby
12,34,5f7VJjfbwm532GiveGC0ZK,Lil Baby
13,34,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
14,33,50co4Is1HCEo8bhOyUWKpn,Young Thug
15,32,4dpARuHxo51G3z768sgnrY,Adele
16,31,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
17,29,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
18,29,3PhoLpVuITZKcymswpck5b,Elton John
19,28,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke
20,28,2wY79sveU1sp5g7SokKOiI,Sam Smith
21,28,5fMUXHkw8R8eOP2RNVYEZX,Diplo
22,27,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
23,26,0hEurMDQu99nJRq8pTxO14,John Mayer
24,25,55Aa2cqylxrFIXC767Z865,Lil Wayne
25,25,23fqKkggKUBHNkbKtXEls4,Kygo
26,25,1HY2Jd0NmPuamShAr6KMms,Lady Gaga
27,24,2hlmm7s2ICUX0LVIhVFlZQ,Gunna
28,24,4kYSro6naA4h99UJvo89HB,Cardi B
29,24,7CajNmpbOovFoOoasH2HaY,Calvin Harris
30,23,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels
31,22,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
32,22,4sTQVOfp9vEMCemLw50sbu,Galantis
33,21,1anyVhU62p31KFi8MEzkbf,Chance the Rapper
34,21,2cFrymmkijnjDg9SS92EPM,blackbear
35,21,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
36,20,41MozSoPIsD1dJM0CLPjZF,BLACKPINK
37,20,757aE44tKEUQEqRuT6GnEB,Roddy Ricch
38,19,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
39,19,6KImCVD70vtIoJWnq6nGn3,Harry Styles
40,19,7bXgB6jMjp9ATFy66eO08Z,Chris Brown
